id	t2015-01	t2015-02	t2015-03	t2015-04	t2015-05	t2015-06	t2015-07	t2015-08	t2015-09	t2015-10	t2015-11	t2015-12	t2015-13	t2015-14	t2015-15	t2015-16	t2015-17	t2015-18	t2015-19	t2015-20	t2015-21	t2015-22	t2015-23	t2015-24	t2015-25	t2015-26	t2015-27	t2015-28	t2015-29	t2015-30	t2015-31	t2015-32	t2015-33	t2015-34	t2015-35	t2015-36	t2015-37	t2015-38	t2015-39	t2015-40	t2015-41	t2015-42	t2015-43	t2015-44	t2015-45	t2015-46	t2015-47	t2015-48	t2015-49	t2015-50	t2015-51	t2015-52	t2015-53
IRQ	1	1	1	1	1	1	1	1	4.77262427241403e-06	0.079721886013177	0.0132846768375329	1	1	0.306054906449559	1	1	1	1	1	5.6009428316958e-05	0.00268419464615497	1	0.0851645495472974	1	1	0.202418147346992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00273008028895403	1	0.00733440569145313	0.078188291644376	1	1	1	1	1	1	4.30121037374873e-05
ISL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ISR	1	1	0.0464326679706765	1	3.09272326898009e-05	1	1	1	1	1.32321813466153e-16	0.13312331129062	1.39756740434541e-10	0.991516136254251	0.968956236375008	1	1	0.12481417271377	0.0248262260003034	0.0159645285305687	1	1	0.10847454917843	1	1	0.0680936347218485	0.122771082770239	1	0.264811090425692	0.314879609103153	0.167697668236447	6.53752821929828e-05	0.669452582362491	1	0.379363412352171	1	1	0.281020967028379	0.0775890448701157	1	1	1.29216185468831e-05	8.47717332137889e-09	0.115029270821704	1	1	0.633973405546623	1	1	1	1	1	7.21872528222601e-07	0.000844962478490297
ITA	5.09792840810001e-12	1	1	1	1	0.0128100950614788	0.27185851854583	0.342763103565472	1	1	1	1	1	1	1	4.85322086122659e-10	0.00479979670647319	0.540496472723827	0.27164791914341	1	1	0.00235178217598917	0.0416175172199066	1	1	1	0.302765064728913	0.199234369045858	1	1	1	1	0.00275222636403683	0.00542405489748905	0.390787216268839	1	1	1	1	1	0.000143353453016102	1	1	1	1	0.0163563070312564	1	1	1	1	0.000135234851750199	1	1
JAM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JOR	1	1	1	1	1	2.15000920597877e-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JPN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00623232127317202	0.0356786183642021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KAZ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEN	1	1	1	1	1	1	1	1	1	1	1	1	1	6.78077668378189e-07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.07375805052994e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KGZ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
