"2014-00"	"2014-01"	"2014-02"	"2014-03"	"2014-04"	"2014-05"	"2014-06"	"2014-08"	"2014-09"	"2014-10"	"2014-11"	"2014-12"	"2014-13"	"2014-14"	"2014-15"	"2014-16"	"2014-17"	"2014-18"	"2014-19"	"2014-20"	"2014-21"	"2014-22"	"2014-23"	"2014-24"	"2014-25"	"2014-26"	"2014-27"	"2014-28"	"2014-29"	"2014-30"	"2014-31"	"2014-32"	"2014-33"	"2014-34"	"2014-35"	"2014-36"	"2014-37"	"2014-38"	"2014-39"	"2014-40"	"2014-41"	"2014-42"	"2014-43"	"2014-44"	"2014-45"	"2014-46"	"2014-47"	"2014-48"	"2014-49"	"2014-50"	"2014-51"	"2014-52"
"LVA"	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0
"MAC"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"MAR"	0	0	0	3	0	0	0	1	0	0	1	1	3	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"MCO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
"MDA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"MDG"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0
"MDV"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0
"MEX"	4	0	4	2	1	1	0	2	1	3	0	4	2	3	5	3	1	2	3	2	2	0	3	3	2	1	2	1	4	1	0	2	3	1	3	3	3	8	5	4	3	6	9	7	4	4	3	2	2	2	3	0
"MHL"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"MKD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"MLI"	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	4	2	0	1	0	0	0	0	1	2	0	0	0	1	0	1	0	1	0	1	2	0	2	1	0	4	2	0	0	3	0	0	0
"MLT"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
