id	week01	week02	week03	week04	week05	week06	week07	week08	week09	week10	week11	week12	week13	week14	week15	week16	week17	week18	week19	week20	week21	week22	week23	week24	week25	week26	week27	week28	week29	week30	week31	week32	week33	week34	week35	week36	week37	week38	week39	week40	week41	week42	week43	week44	week45	week46	week47	week48	week49	week50	week51	week52	week53
IRQ	7	5	10	3	3	16	12	5	9	14	12	6	2	11	5	13	9	10	5	10	20	15	9	12	4	7	6	6	12	6	8	4	6	8	12	3	5	5	3	10	7	12	4	8	10	7	7	8	15	7	8	8	13
ISL	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ISR	15	17	11	3	9	11	6	8	6	14	18	31	15	14	8	14	6	14	9	13	6	4	2	5	4	10	6	4	8	12	12	4	4	6	3	7	7	16	6	14	17	21	12	13	11	10	2	7	2	5	2	8	6
ITA	24	5	8	0	11	13	16	5	3	4	18	6	2	5	10	18	22	14	14	10	7	11	15	13	15	10	8	13	6	12	10	8	10	6	7	6	5	4	8	8	10	16	1	13	7	7	5	5	9	5	13	9	3
JAM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JOR	1	2	2	0	10	21	3	0	2	1	0	0	0	2	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	2	0	0	0	1	1	1	4	0	2	1	2	2	5	1	2	2	1	0	3	1	1	1
JPN	3	1	1	4	12	4	2	2	1	4	5	4	0	0	1	2	4	8	2	4	0	5	0	4	0	1	1	0	0	0	2	8	3	1	0	1	6	2	1	1	0	0	1	0	1	2	0	2	2	0	2	1	1
KAZ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
KEN	0	1	0	1	0	0	0	0	0	0	0	0	0	15	11	1	0	0	0	1	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	10	1	0	1	1	0
KGZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
KHM	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KOR	9	3	0	0	0	0	2	1	0	5	0	2	0	5	2	4	4	6	2	6	2	1	2	4	3	1	0	1	0	0	1	0	1	7	3	0	0	0	0	0	0	0	1	0	2	1	0	1	2	1	3	0	3
