id	week01	week02	week03	week04	week05	week06	week07	week08	week09	week10	week11	week12	week13	week14	week15	week16	week17	week18	week19	week20	week21	week22	week23	week24	week25	week26	week27	week28	week29	week30	week31	week32	week33	week34	week35	week36	week37	week38	week39	week40	week41	week42	week43	week44	week45	week46	week47	week48	week49	week50	week51	week52	week53
AZE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BDI	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	4	2	2	1	2	1	1	0	2	3	2	3	1	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	2
BEL	0	2	2	0	1	0	1	0	0	2	3	1	4	0	0	0	1	0	1	2	2	1	2	2	4	4	4	3	0	1	1	2	2	1	0	3	2	3	0	0	0	1	1	0	2	1	11	3	0	0	3	1	0
BEN	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
BFA	0	0	1	0	2	1	0	2	0	3	1	0	1	1	2	0	0	0	0	1	1	1	2	1	0	1	1	0	1	1	0	2	1	0	0	0	0	2	4	2	2	0	0	1	0	1	1	1	1	0	0	1	0
BGD	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
BGR	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
BHR	2	1	0	0	1	0	0	0	2	0	0	0	2	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1
BHS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BLR	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BLZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOL	0	1	0	0	0	0	3	3	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
BRA	0	0	0	0	0	0	1	0	1	1	1	0	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0
BRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BWA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CAF	0	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	2	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1
CAN	1	2	1	0	2	1	1	0	0	0	1	0	1	3	0	0	0	0	0	1	0	1	0	2	1	1	2	0	1	0	1	2	0	0	1	2	2	0	1	1	0	0	4	1	0	0	1	1	0	0	0	1	1
CCK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHE	0	1	4	2	3	2	2	3	0	3	6	1	2	6	1	3	7	2	1	2	2	1	0	2	6	0	1	2	1	2	1	0	2	1	4	4	3	1	0	2	2	2	1	2	2	1	2	2	0	1	1	1	1
CHL	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHN	3	0	1	1	0	1	0	0	2	0	1	5	1	7	3	1	2	2	1	0	2	0	1	6	1	2	1	4	1	1	1	3	0	4	10	2	0	1	0	1	0	0	1	3	0	2	3	1	3	3	4	3	1
CIV	0	1	0	0	1	0	1	0	1	0	2	0	0	1	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0
CMR	0	0	2	0	3	4	2	1	1	0	2	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	1	3	0	0	1	1	0	0	1	1	0	1	0	0	0	0	4	0	2	0	0	1	0
COD	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	2	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0
COG	0	0	0	0	4	0	0	1	0	0	0	0	1	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	3	2	0	0	1	0	0	1	1	0	0	0	1	0
COK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL	0	0	0	0	0	0	0	1	0	0	2	0	2	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUB	0	0	1	0	1	0	1	0	1	0	1	0	0	1	3	1	0	0	0	2	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0
