id	week01	week02	week03	week04	week05	week06	week07	week08	week09	week10	week11	week12	week13	week14	week15	week16	week17	week18	week19	week20	week21	week22	week23	week24	week25	week26	week27	week28	week29	week30	week31	week32	week33	week34	week35	week36	week37	week38	week39	week40	week41	week42	week43	week44	week45	week46	week47	week48	week49	week50	week51	week52
LAO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LBN	3	0	0	0	2	0	0	2	2	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	2	1	1	0	2	1	0	0	1	0	0	1	0	0	0	1	0	1	2	0	1	1	0
LBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	5	1	3	4	1	1	3	0	1	2	3	2	2	3	1	1	0	0	0	0	1	0	0
LBY	0	3	0	2	2	2	3	0	0	1	2	2	2	0	1	1	0	3	4	3	4	1	3	1	0	3	1	1	7	5	7	1	0	2	2	1	0	0	2	2	0	0	0	0	2	1	0	0	1	0	0	2	1
LKA	0	1	2	0	3	2	1	0	2	0	1	3	1	1	1	0	1	1	1	0	0	0	2	1	3	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	3	0	0	1	0	0	1	1	3	0
LSO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTU	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
LUX	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MAR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
MCO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDA	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MDV	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
MEX	0	0	3	0	1	0	0	1	2	0	1	1	0	3	1	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	1	1	4	2	0	2	1	4	3	1	1	1	0	0	0	0
MHL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MKD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
MLT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMR	0	0	0	1	0	0	0	0	2	0	0	0	1	0	3	0	0	0	1	1	2	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	2	1	3	1	0	0	0	0	2	0
MWI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYS	1	1	0	0	0	0	0	0	0	2	3	2	1	5	3	3	2	3	3	1	3	3	0	3	1	2	1	0	4	16	6	2	1	1	1	1	0	1	1	1	3	1	1	0	2	3	1	1	1	0	0	0	1
NAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NER	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGA	0	1	0	0	1	0	0	2	3	3	2	0	0	3	1	6	1	1	11	9	6	4	5	2	2	3	5	1	1	3	3	1	2	3	1	4	1	5	2	1	0	2	2	2	1	5	1	5	4	0	2	2	1
NIC	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NLD	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
NOR	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NPL	0	0	0	2	0	2	4	4	0	2	0	1	0	0	0	7	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	3	1	0	0	0	1	1	0	0	6	1	0	0	0	0	0	0	1	0	3	0
NRU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NZL	0	0	0	1	2	0	2	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OMN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PAK	14	7	4	10	6	9	10	7	11	10	7	4	8	5	10	7	3	4	8	4	7	7	9	12	9	6	1	2	6	5	2	4	12	6	6	9	8	6	5	5	8	0	9	1	11	11	7	6	8	6	8	12	3
PAN	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PER	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHL	0	0	3	2	3	0	2	0	0	0	1	1	1	0	2	1	2	3	1	1	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	4	0	0	1	2
PNG	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POL	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0
PRK	1	2	1	1	1	2	1	0	2	8	3	3	3	3	1	1	5	4	2	3	1	2	1	0	0	3	2	1	2	1	2	0	3	1	0	0	2	1	1	3	2	1	1	2	2	1	2	0	0	0	7	6	0
PRT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0
PRY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSE	6	0	2	0	3	0	0	0	0	2	2	1	2	2	2	1	4	4	1	0	3	1	4	5	2	5	12	13	16	18	14	13	7	14	11	4	2	1	4	2	3	2	2	5	2	5	5	1	1	3	5	4	3
QAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUS	5	3	5	9	2	7	4	5	6	18	16	14	15	10	17	13	16	9	16	6	12	11	13	7	3	12	6	4	7	11	8	4	6	8	15	15	4	1	5	4	3	4	2	5	5	9	8	3	7	1	3	5	3
RWA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAU	1	1	0	0	0	2	0	0	0	2	0	0	3	1	0	0	1	0	0	1	0	0	0	0	1	2	2	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	2	1	2	0	1	0	0	0	0	0	1
