"","i","j","fij"
"242","La Rioja","Bourg-en-Bresse",749626.476183927
"243","Lugo","Bourg-en-Bresse",1073109.71997639
"244","Madrid","Bourg-en-Bresse",968438.795997696
"245","Málaga","Bourg-en-Bresse",1329130.38367564
"246","Murcia","Bourg-en-Bresse",1054903.38455868
"247","Salamanca","Bourg-en-Bresse",1053818.95314142
"248","Segovia","Bourg-en-Bresse",954031.037723807
"249","Sevilla","Bourg-en-Bresse",1353876.65964036
"250","Tarragona","Bourg-en-Bresse",649872.322201231
"251","Valladolid","Bourg-en-Bresse",945089.39027977
"252","València","Bourg-en-Bresse",878065.265238962
"253","Santiago de Compostela","Bourg-en-Bresse",1152915.64005926
"254","Vitoria-Gasteiz","Bourg-en-Bresse",729675.632659022
"255","Xixón","Bourg-en-Bresse",908339.521610955
"256","Zaragoza","Bourg-en-Bresse",704294.763142059
"257","San Francisco","Bourg-en-Bresse",9505659.24412847
"258","Athènes","Bourg-en-Bresse",1780227.65004859
"259","Messine","Bourg-en-Bresse",1233768.42709786
"260","Torino","Bourg-en-Bresse",229372.813077174
"261","Panamá","Bourg-en-Bresse",9494733.25650517
"262","Amsterdam","Bourg-en-Bresse",686658.492258123
"263","Lisbonne","Bourg-en-Bresse",1444384.41717378
"264","Bucarest","Bourg-en-Bresse",1642563.28853313
"265","Glasgow","Bourg-en-Bresse",6377690.79592654
"266","Liverpool","Bourg-en-Bresse",995221.692869726
"267","Londres","Bourg-en-Bresse",708263.057517612
"268","Manchester","Bourg-en-Bresse",971511.115356274
"269","Neuchâtel","Bourg-en-Bresse",156873.720580644
"270","Fribourg","Bourg-en-Bresse",309986.429436506
"271","Bourg-en-Bresse","Château-Thierry",343810.872838381
"272","Château-Thierry","Château-Thierry",0
"273","Laon","Château-Thierry",60049.6073431546
"274","Montluçon","Château-Thierry",306329.334111865
"275","Vichy","Château-Thierry",324443.446241021
"276","Digne-les-Bains","Château-Thierry",591278.507130855
"277","Manosque","Château-Thierry",606896.094947758
"278","Sisteron","Château-Thierry",572496.075455924
"279","Grasse","Château-Thierry",656518.897561743
"280","Nice","Château-Thierry",663618.076412291
"281","Aubenas","Château-Thierry",497122.811181306
"282","Ariège","Château-Thierry",702514.612748145
"283","Foix","Château-Thierry",689343.876609473
"284","La Bastide-de-Sérou","Château-Thierry",687218.478692377
"285","Pailhès","Château-Thierry",623970.670051429
"286","Troyes","Château-Thierry",96641.2160328055
"287","Carcassonne","Château-Thierry",652883.630593321
"288","Castans","Château-Thierry",630367.119043574
"289","Narbonne","Château-Thierry",651893.628718341
"290","Lac de Jouarres","Château-Thierry",5173795.87174052
"291","Millau","Château-Thierry",549721.843625656
"292","Villefranche de Rouergue","Château-Thierry",531582.057237372
"293","Rodez","Château-Thierry",525180.179974482
"294","Saverne","Château-Thierry",292225.457618527
"295","Strasbourg","Château-Thierry",323284.477037146
"296","Aix-en-Provence","Château-Thierry",632439.451035947
"297","Arles","Château-Thierry",603578.919028558
"298","Aubagne","Château-Thierry",660439.267508699
"299","Istres","Château-Thierry",626343.812196442
"300","La Ciotat","Château-Thierry",673722.058908058
"301","Marseille","Château-Thierry",656301.132030494
"302","Martigues","Château-Thierry",639160.870773756
"303","Salon de Provence","Château-Thierry",614248.088733981
"304","Caen","Château-Thierry",275812.946236055
"305","Aurillac","Château-Thierry",462967.60693195
"306","Angoulême","Château-Thierry",449669.601228072
"307","Jonzac","Château-Thierry",493833.749074509
"308","La Rochelle","Château-Thierry",468793.886565954
"309","Marennes","Château-Thierry",493668.784662328
"310","Saintes","Château-Thierry",476459.814604565
"311","Bourges","Château-Thierry",230655.744699107
"312","Tulle","Château-Thierry",437341.571406863
"313","Guéret","Château-Thierry",339549.750372866
"314","Dijon","Château-Thierry",226867.126932389
"315","Guingamp","Château-Thierry",484160.987030578
"316","Lannion","Château-Thierry",504210.590716015
"317","Saint-Brieuc","Château-Thierry",456589.458583755
"318","Niort","Château-Thierry",418879.608830673
"319","Bergerac","Château-Thierry",515570.009989609
"320","Nontron","Château-Thierry",441959.617028154
"321","Besançon","Château-Thierry",279800.28903013
"322","Montbéliard","Château-Thierry",304084.795949394
"323","Crest","Château-Thierry",373558.109391065
"324","Montélimar","Château-Thierry",508823.804209647
"325","Nyons","Château-Thierry",537241.703576332
"326","Valence","Château-Thierry",470468.251282381
"327","Evry","Château-Thierry",84406.4807953913
"328","Pussay","Château-Thierry",129415.19198196
"329","Brest","Château-Thierry",584671.509773621
"330","Carhaix-Plouguer","Château-Thierry",520506.719365911
"331","Chateaulin","Château-Thierry",560129.620626041
"332","Concarneau","Château-Thierry",556712.305701305
"333","Morlaix","Château-Thierry",533669.241001346
"334","Quimper","Château-Thierry",566139.001230331
"335","Alès","Château-Thierry",548901.129301933
"336","Bagnols-sur-Cèze","Château-Thierry",550483.356691746
"337","Nîmes","Château-Thierry",583046.388028365
"338","Uzès","Château-Thierry",564388.962967433
"339","Auch","Château-Thierry",637506.481588239
"340","L'Isle Jourdain","Château-Thierry",629003.742333595
"341","Auros","Château-Thierry",573242.701962817
"342","Bazas","Château-Thierry",581856.573919855
"343","Bordeaux","Château-Thierry",556438.528073429
"344","Gans","Château-Thierry",577185.000755629
"345","Libourne","Château-Thierry",535952.967545804
"346","Langon","Château-Thierry",571155.586590539
"347","Sainte-Foy-la-Grande","Château-Thierry",525979.161411131
"348","Pointe-à-Pitre","Château-Thierry",7039546.64686333
"349","Guebwiller","Château-Thierry",308389.969771936
"350","Mulhouse","Château-Thierry",324960.572192928
"351","Cazères","Château-Thierry",672768.183277709
"352","Toulouse","Château-Thierry",622759.090267117
"353","Saint-Gaudens","Château-Thierry",691137.528953157
"354","Le Puy-en-Velay","Château-Thierry",445658.221957446
"355","Monistrol-sur-Loire","Château-Thierry",420811.950494674
"356","Tarbes","Château-Thierry",694616.020061395
"357","Annecy","Château-Thierry",405518.658625314
"358","Annemasse","Château-Thierry",381448.091557676
"359","Limoges","Château-Thierry",391189.516492438
"360","Briançon","Château-Thierry",522050.388967036
"361","Embrun","Château-Thierry",550625.817649556
"362","Gap","Château-Thierry",538208.202075806
"363","Veynes","Château-Thierry",533832.058570448
"364","Bagneux","Château-Thierry",46932.0940459414
"365","Clamart","Château-Thierry",87819.377377185
"366","Malakoff","Château-Thierry",84849.6291487232
"367","Brissac","Château-Thierry",574323.121702027
"368","Béziers","Château-Thierry",633713.564385249
"369","Ganges","Château-Thierry",568028.34562396
"370","Lodève","Château-Thierry",590263.883456363
"371","Montpellier","Château-Thierry",604641.253779921
"372","Saint Pons de Thomières","Château-Thierry",619092.460518067
"373","Lac de Jouarres","Château-Thierry",5173795.87174052
"374","Olonzac","Château-Thierry",641969.478679392
"375","Saint-Pons-de-Thomières","Château-Thierry",619092.460518067
"376","Sète","Château-Thierry",627231.133644613
"377","Fougères","Château-Thierry",347451.092607727
"378","Rennes","Château-Thierry",388947.663401426
"379","Saint-Aubin-du-Cormier","Château-Thierry",364553.424052266
"380","Saint-Malo","Château-Thierry",400040.390523545
"381","Châteauroux","Château-Thierry",279590.109142947
"382","Chinon","Château-Thierry",314512.466038388
"383","Tours","Château-Thierry",272785.829718559
"384","Bourgoin-Jallieu","Château-Thierry",409428.528033595
"385","Grenoble","Château-Thierry",463559.651728894
"386","La Côte-Saint-André","Château-Thierry",389900.734844574
"387","Lons le Saunier","Château-Thierry",308753.777914958
"388","Lons-le-Saunier","Château-Thierry",308753.777914958
"389","Saint-Denis de la Réunion","Château-Thierry",11377964.6511164
"390","Saint-Leu","Château-Thierry",11425169.0087794
"391","Mont-de-Marsan","Château-Thierry",645919.067086965
"392","Montbrison","Château-Thierry",385097.579810845
"393","Roanne","Château-Thierry",337948.283984077
"394","Saint-Étienne","Château-Thierry",407232.556625069
"395","Blain","Château-Thierry",421149.068965727
"396","Châteaubriant","Château-Thierry",383160.633639395
"397","Nantes","Château-Thierry",421198.630697822
"398","Saint-Nazaire","Château-Thierry",461553.22441425
"399","Blois","Château-Thierry",222994.254565586
"400","Montargis","Château-Thierry",126161.53820648
"401","Orléans","Château-Thierry",5732410.39099292
"402","Figeac","Château-Thierry",503598.736908204
"403","Cahors","Château-Thierry",531985.90335029
"404","Agen","Château-Thierry",578546.933876326
"405","Villeneuve-sur-Lot","Château-Thierry",554882.974193709
"406","Florac","Château-Thierry",524569.489547985
"407","Angers","Château-Thierry",341387.956095751
"408","Saint-Lô","Château-Thierry",328355.958034864
"409","Châlons-en-Champagne","Château-Thierry",70904.9622743309
"410","Reims","Château-Thierry",51683.2453474225
"411","Fort-de-France","Château-Thierry",7172494.36334062
"412","Craon","Château-Thierry",348336.765915828
"413","Laval","Château-Thierry",326504.015968278
"414","Nancy","Château-Thierry",207685.339653712
"415","Lorient","Château-Thierry",521182.959115915
"416","Questembert","Château-Thierry",460130.123915726
"417","Vannes","Château-Thierry",481695.209616103
"418","Metz","Château-Thierry",202776.956146061
"419","Nevers","Château-Thierry",228542.153232071
"420","Lille","Château-Thierry",178217.154279664
"421","Valenciennes","Château-Thierry",146682.395180999
"422","Avrechy","Château-Thierry",84102.8458864427
"423","Beauvais","Château-Thierry",105545.278943641
"424","Alençon","Château-Thierry",252886.005187559
"425","Paris (Belleville Ménilmontant)","Château-Thierry",76716.8658582528
"426","Paris (Denfert-Rochereau)","Château-Thierry",81737.887131396
"427","Paris (Place des Fêtes)","Château-Thierry",80318.7984243039
"428","Paris (Menilmontant-Sorbier)","Château-Thierry",76716.8658582528
"429","Paris (République)","Château-Thierry",5890470.37404664
"430","Arras","Château-Thierry",145980.312730265
"431","Boulogne-sur-Mer","Château-Thierry",227269.164501544
"432","Béthune","Château-Thierry",173059.083265766
"433","Calais","Château-Thierry",238753.716600671
"434","Saint-Omer","Château-Thierry",207320.580809177
"435","Ambert","Château-Thierry",388974.573104403
"436","Clermont-Ferrand","Château-Thierry",363722.50564522
"437","Accous","Château-Thierry",741783.186383168
"438","Bayonne","Château-Thierry",721794.069474015
"439","Pau","Château-Thierry",701605.948111173
"440","Vallée d'Aspe","Château-Thierry",4978350.13653092
"441","Prades","Château-Thierry",717989.386182268
"442","Perpignan","Château-Thierry",706510.464266764
"443","Lyon","Château-Thierry",380659.400073197
"444","Le Mans","Château-Thierry",263072.008651612
"445","Chambéry","Château-Thierry",430601.639184694
"446","Chalon-sur-Saône","Château-Thierry",272985.928823382
"447","Mâcon","Château-Thierry",322803.648524267
"448","Fontainebleau","Château-Thierry",87806.3598445301
"449","Marne la Vallée","Château-Thierry",86395.6138277655
"450","Melun","Château-Thierry",78189.9862073987
"451","Fécamp","Château-Thierry",233746.334708657
"452","Le Havre","Château-Thierry",245000.931310852
"453","Rouen","Château-Thierry",173847.830296531
"454","Aubervilliers","Château-Thierry",76095.2593891831
"455","Clichy","Château-Thierry",81868.8378702292
"456","Montreuil","Château-Thierry",197313.258728714
"457","Noisy-le-Sec","Château-Thierry",71497.5213589034
"458","Pantin","Château-Thierry",75099.5145316007
"459","Saint-Denis","Château-Thierry",77417.1961956351
"460","Saint-Ouen","Château-Thierry",79603.3051848998
"461","Abbeville","Château-Thierry",163896.063400369
"462","Amiens","Château-Thierry",124075.064217681
"463","Albi","Château-Thierry",576449.758166073
"464","Gaillac","Château-Thierry",582815.269811593
"465","Moissac","Château-Thierry",576620.811807134
"466","Saint-Antonin-Noble-Val","Château-Thierry",557777.69814841
"467","Belfort","Château-Thierry",300216.910049654
"468","Créteil","Château-Thierry",75508.7518956468
"469","Ivry-sur-seine","Château-Thierry",78760.7247158064
"470","Villejuif","Château-Thierry",81490.3183970243
"471","Bonneuil-sur-Marne","Château-Thierry",73567.3325062779
"472","Vitry-sur-Seine","Château-Thierry",79415.0195855644
"473","Cergy","Château-Thierry",99725.4701087632
